fecha,Aérea,Terrestre,Marítima
2009-01-01,81693.0,88433.5905347593,13379.0
2009-02-01,70099.0,67653.25390751359,11674.000000000002
2009-03-01,84494.0,78221.22709511571,11522.0
2009-04-01,80618.0,92934.4899173554,9289.999999999998
2009-05-01,64621.0,62056.667650695555,6517.0
2009-06-01,81500.0,73950.12857142845,842.0
2009-07-01,74818.0,64156.27569229022,1115.0
2009-08-01,76026.0,104657.18837563434,8699.0
2009-09-01,61974.0,73045.18845637582,771.0
2009-10-01,72950.0,83029.96666666669,846.0
2009-11-01,82455.0,93790.16000000013,12913.0
2009-12-01,104131.0,117764.58770897836,16135.999999999998
2010-01-01,85216.0,99581.98588235289,14333.0
2010-02-01,69352.0,76014.55714285714,7233.0
2010-03-01,88849.0,77503.78724629761,10280.0
2010-04-01,76466.0,96497.10000000005,6692.0
2010-05-01,65070.0,79094.53513761464,2228.0
2010-06-01,84570.0,74888.53999999995,943.0
2010-07-01,102317.0,99950.90921084872,988.0
2010-08-01,79180.0,106249.43583364459,7463.0
2010-09-01,62853.0,70280.8886553766,714.0
2010-10-01,76272.0,84744.54099203461,5218.0
2010-11-01,84445.0,97709.08842105274,11566.0
2010-12-01,99643.0,130987.48519124987,17505.0
2011-01-01,81827.0,110644.59029411766,6649.0
2011-02-01,69199.0,83028.8476190476,8579.0
2011-03-01,77868.0,96708.30508188404,8008.0
2011-04-01,77120.0,117307.74419302512,17334.0
2011-05-01,68133.0,80830.34999999996,7765.0
2011-06-01,82437.0,85376.35714285713,2270.0
2011-07-01,97679.0,105386.66331283798,1260.0
2011-08-01,77477.0,98679.6781400468,11698.0
2011-09-01,65329.0,78462.69120441619,641.0
2011-10-01,71644.0,83193.86878067983,4729.0
2011-11-01,86040.0,104176.49504048169,6434.0
2011-12-01,101211.0,146377.5152835257,9952.0
2012-01-01,81067.0,122517.305882353,7250.0
2012-02-01,70168.0,92607.26952380955,6226.0
2012-03-01,84564.0,106344.11365490344,5185.0
2012-04-01,75122.0,110443.74999999993,8096.0
2012-05-01,71959.0,83234.46,9779.0
2012-06-01,87824.0,90624.46928571428,965.0
2012-07-01,96204.0,105841.72000106898,1937.0
2012-08-01,72237.0,100145.5113766111,15710.0
2012-09-01,65651.0,85070.55262295081,819.0
2012-10-01,75434.0,95986.9581938911,3023.0
2012-11-01,87872.0,110323.7518037972,10062.0
2012-12-01,102428.0,140017.71697674415,17076.0
2013-01-01,80051.0,105415.51999839998,9974.0
2013-02-01,69139.0,79327.08999989995,7927.0
2013-03-01,90893.0,131636.6366329104,15859.0
2013-04-01,72202.0,109751.51000000002,10752.0
2013-05-01,71046.0,112853.55999999998,5056.0
2013-06-01,89180.0,113399.43999999997,943.0
2013-07-01,95206.0,118956.62178503753,1998.0
2013-08-01,77913.0,120963.62000000013,3058.0
2013-09-01,66627.0,100119.2500028,1339.0
2013-10-01,79527.0,91059.97999999995,1890.0
2013-11-01,92515.0,113120.41999999993,13151.0
2013-12-01,112488.0,153846.32999999996,12985.0
2014-01-01,90200.0,130524.53999999992,13722.0
2014-02-01,78209.0,96035.75,8477.0
2014-03-01,92135.0,110207.73433878162,12836.0
2014-04-01,89600.0,140647.90000000002,13576.0
2014-05-01,80383.0,112244.52000000008,4306.0
2014-06-01,99084.0,102404.34999985993,937.0
2014-07-01,102729.0,135567.68999999997,1077.0
2014-08-01,86492.0,140100.76999999996,3015.0
2014-09-01,73602.0,116394.10999999997,818.0
2014-10-01,86265.0,139647.01000000004,718.0
2014-11-01,95776.0,153726.28999999957,12851.0
2014-12-01,117878.0,208891.3,11524.0
2015-01-01,95064.0,151017.000001625,7194.0
2015-02-01,79878.0,119584.49999823693,8514.0
2015-03-01,98121.0,154233.2844474664,12673.0
2015-04-01,87540.0,162185.49999998856,21743.0
2015-05-01,84334.0,145065.29823437225,8664.0
2015-06-01,104893.0,145425.99999916193,2029.0
2015-07-01,106927.0,148253.99999890625,2001.0
2015-08-01,90600.0,162197.50000028277,7790.0
2015-09-01,82888.0,125454.49999934428,662.0
2015-10-01,97243.0,134549.99999686194,3225.0
2015-11-01,110173.0,136006.50000221597,6780.0
2015-12-01,129751.0,201180.50000370402,7801.0
2016-01-01,109052.0,161285.99999999985,8953.0
2016-02-01,90944.0,131965.99999999988,11708.0
2016-03-01,117172.0,215678.00000000003,14234.0
2016-04-01,90938.0,145473.00000000006,12028.0
2016-05-01,96379.0,151184.0,9518.0
2016-06-01,113143.0,153559.65625000017,1366.0
2016-07-01,130062.0,176601.75939849703,1708.0
2016-08-01,100986.0,196149.99999999974,11894.000000000002
2016-09-01,80637.42857142864,133965.97026476593,662.0
2016-10-01,102214.0,194458.99999999997,3017.0
2016-11-01,111954.0,197750.0,16219.000000000002
2016-12-01,111842.0,268530.0218579234,22983.0
2017-01-01,99217.0,209585.21961467384,18286.0
2017-02-01,94604.0,169373.87858264858,12864.999999999998
2017-03-01,106339.0,222174.3732197054,11212.0
2017-04-01,110230.00000000001,267606.9311828097,20271.000000000004
2017-05-01,89750.0,184953.37535503626,5908.0
2017-06-01,114128.0,184630.78539999996,1460.0
2017-07-01,134449.0,223014.57369999983,1543.0
2017-08-01,100536.0,299583.0166000009,
2017-09-01,91091.0,148682.30469999992,4268.0
2017-10-01,109105.00000000001,153283.10442170198,12419.0
2017-11-01,121392.0,179948.2421300007,15268.0
2017-12-01,142949.0,235771.4961000003,25563.0
2018-01-01,117446.0,209981.89233200034,29506.0
2018-02-01,96337.0,174295.42668800018,16491.0
2018-03-01,124266.0,293193.99999999884,17604.0
2018-04-01,104951.0,266163.66023500025,19374.000000000004
2018-05-01,103815.0,191168.7562999992,8936.0
2018-06-01,120718.00000000068,221271.8457930177,2020.0
2018-07-01,134933.0,224387.84170000005,
2018-08-01,110568.00000000073,267340.77360000013,743.0
2018-09-01,94931.29173150647,190994.79999999952,2149.0
2018-10-01,115003.99628460119,184907.25050606395,14864.000000000002
2018-11-01,135409.36194730835,193633.1834309997,17760.0
2018-12-01,156607.3959668107,273631.1799481389,20945.000000000004
2019-01-01,126566.13349998859,258991.05062284865,23513.0
2019-02-01,106574.12156398408,201808.45421105972,13685.0
2019-03-01,118895.93695089713,259346.22790514043,20991.000000000004
2019-04-01,125309.99999999897,295423.0257162707,17393.0
2019-05-01,109523.99999999949,211322.71899710293,1992.0
2019-06-01,127604.99999999904,233118.62495207423,
2019-07-01,138562.64109759167,284020.588003431,1966.0
2019-08-01,115044.99999999999,320111.2167264152,
2019-09-01,101240.07692307641,223844.47677064058,1294.0
2019-10-01,119128.99999999866,197089.58166068167,17004.0
2019-11-01,137092.00000000227,243942.8788819876,23599.0
2019-12-01,157842.00000000003,348626.4459517657,9352.0
2020-01-01,130697.00219828535,316015.17248564336,19028.0
2020-02-01,112885.99999999996,259956.6257059583,16419.0
